,measure_year,measure_month,measure_day
450,1771.0,3.0,27.0
451,1771.0,3.0,28.0
452,1771.0,3.0,29.0
453,1771.0,3.0,30.0
454,1771.0,3.0,31.0
455,1771.0,4.0,1.0
456,1771.0,4.0,2.0
457,1771.0,4.0,3.0
458,1771.0,4.0,4.0
459,1771.0,4.0,5.0
460,1771.0,4.0,6.0
461,1771.0,4.0,7.0
462,1771.0,4.0,8.0
463,1771.0,4.0,9.0
464,1771.0,4.0,10.0
465,1771.0,4.0,11.0
466,1771.0,4.0,12.0
467,1771.0,4.0,13.0
468,1771.0,4.0,14.0
469,1771.0,4.0,15.0
470,1771.0,4.0,16.0
471,1771.0,4.0,17.0
472,1771.0,4.0,18.0
473,1771.0,4.0,19.0
474,1771.0,4.0,20.0
475,1771.0,4.0,21.0
476,1771.0,4.0,22.0
477,1771.0,4.0,23.0
478,1771.0,4.0,24.0
479,1771.0,4.0,25.0
480,1771.0,4.0,26.0
481,1771.0,4.0,27.0
482,1771.0,4.0,28.0
483,1771.0,4.0,29.0
484,1771.0,4.0,30.0
485,1772.0,1.0,1.0
486,1772.0,1.0,2.0
487,1772.0,1.0,3.0
488,1772.0,1.0,4.0
489,1772.0,1.0,5.0
490,1772.0,1.0,6.0
491,1772.0,1.0,7.0
492,1772.0,1.0,8.0
493,1772.0,1.0,9.0
494,1772.0,1.0,10.0
495,1772.0,1.0,11.0
496,1772.0,1.0,12.0
497,1772.0,1.0,13.0
498,1772.0,1.0,14.0
499,1772.0,1.0,15.0
500,1772.0,1.0,16.0
501,1772.0,1.0,17.0
502,1772.0,1.0,18.0
503,1772.0,1.0,19.0
504,1772.0,1.0,20.0
505,1772.0,1.0,21.0
506,1772.0,1.0,22.0
507,1772.0,1.0,23.0
508,1772.0,1.0,24.0
509,1772.0,1.0,25.0
510,1772.0,1.0,26.0
511,1772.0,1.0,27.0
512,1772.0,1.0,28.0
513,1772.0,1.0,29.0
514,1772.0,1.0,30.0
515,1772.0,1.0,31.0
516,1772.0,2.0,1.0
517,1772.0,2.0,2.0
518,1772.0,2.0,3.0
519,1772.0,2.0,4.0
520,1772.0,2.0,5.0
521,1772.0,2.0,6.0
522,1772.0,2.0,7.0
523,1772.0,2.0,8.0
524,1772.0,2.0,9.0
525,1772.0,2.0,10.0
526,1772.0,2.0,11.0
527,1772.0,2.0,12.0
528,1772.0,2.0,13.0
529,1772.0,2.0,14.0
530,1772.0,2.0,15.0
531,1772.0,2.0,16.0
532,1772.0,2.0,17.0
533,1772.0,2.0,18.0
534,1772.0,2.0,19.0
535,1772.0,2.0,20.0
536,1772.0,2.0,21.0
537,1772.0,2.0,22.0
538,1772.0,2.0,23.0
539,1772.0,2.0,24.0
540,1772.0,2.0,25.0
541,1772.0,2.0,26.0
542,1772.0,2.0,27.0
543,1772.0,2.0,28.0
544,1772.0,2.0,29.0
545,1772.0,3.0,1.0
546,1772.0,3.0,2.0
547,1772.0,3.0,3.0
548,1772.0,3.0,4.0
549,1772.0,3.0,5.0
550,1772.0,3.0,6.0
551,1772.0,3.0,7.0
552,1772.0,3.0,8.0
553,1772.0,3.0,9.0
554,1772.0,3.0,10.0
555,1772.0,3.0,11.0
556,1772.0,3.0,12.0
557,1772.0,3.0,13.0
558,1772.0,3.0,14.0
559,1772.0,3.0,15.0
560,1772.0,3.0,16.0
561,1772.0,3.0,17.0
562,1772.0,3.0,18.0
563,1772.0,3.0,19.0
564,1772.0,3.0,20.0
565,1772.0,3.0,21.0
566,1772.0,3.0,22.0
567,1772.0,3.0,23.0
568,1772.0,3.0,24.0
569,1772.0,3.0,25.0
570,1772.0,3.0,26.0
571,1772.0,3.0,27.0
572,1772.0,3.0,28.0
573,1772.0,3.0,29.0
574,1772.0,3.0,30.0
575,1772.0,3.0,31.0
576,1772.0,4.0,1.0
577,1772.0,4.0,2.0
578,1772.0,4.0,3.0
579,1772.0,4.0,4.0
580,1772.0,4.0,5.0
581,1772.0,4.0,6.0
582,1772.0,4.0,7.0
583,1772.0,4.0,8.0
584,1772.0,4.0,9.0
585,1772.0,4.0,10.0
586,1772.0,4.0,11.0
587,1772.0,4.0,12.0
588,1772.0,4.0,13.0
589,1772.0,4.0,14.0
590,1772.0,4.0,15.0
591,1772.0,4.0,16.0
592,1772.0,4.0,17.0
593,1772.0,4.0,18.0
594,1772.0,4.0,19.0
595,1772.0,4.0,20.0
596,1772.0,4.0,21.0
597,1772.0,4.0,22.0
598,1772.0,4.0,23.0
599,1772.0,4.0,24.0
600,1772.0,4.0,25.0
601,1772.0,4.0,26.0
602,1772.0,4.0,27.0
603,1772.0,4.0,28.0
604,1772.0,4.0,29.0
605,1772.0,4.0,30.0
606,1772.0,5.0,1.0
607,1772.0,5.0,2.0
608,1772.0,5.0,3.0
609,1772.0,5.0,4.0
610,1772.0,5.0,5.0
611,1772.0,5.0,6.0
